id,title,rank,url
32471199,Open-source rival for OpenAI’s DALL-E runs on your graphics card,1,https://mixed-news.com/en/open-source-rival-for-openais-dall-e-runs-on-your-graphics-card/
32447764,On a Road with a Free Software Phone,2,https://honk.sigxcpu.org/con/On_a_road_to_Prizren_with_a_Free_Software_Phone.html
32470479,Best Papers – Usenix Security 2022,3,https://www.usenix.org/conferences/best-papers?taxonomy_vocabulary_1_tid=2022&title_1=sec
32469538,Show HN: Japanese Complete Book 1 Released,4,item?id=32469538
32468613,Big changes ahead for Deno,5,https://deno.com/blog/changes
32469019,Attacking Titan M with Only One Byte,6,https://blog.quarkslab.com/attacking-titan-m-with-only-one-byte.html
32470645,"Tell HN: After 10 years of experiments, custom username emails receive no spam",7,item?id=32470645
32456848,Show HN: Quaternions: A Practical Guide,8,https://www.anyleaf.org/blog/quaternions:-a-practical-guide
32466823,Second-Order Thinking: What Smart People Use to Outperform,9,https://fs.blog/second-order-thinking/
32469534,Blitz.js – The Missing Fullstack Toolkit for Next.js,10,https://blitzjs.com/
32468430,Add ability to choose a custom coordination server,11,https://github.com/tailscale/tailscale-android/pull/45
32471208,How to Create a Blog Post Title Optimizer with GPT-3 and Hacker News Data,12,https://minimaxir.com/2022/08/gpt3-blog-title-optimizer/
32470275,Foreign Affairs at 100: A Look Back at the First Issue,13,https://bcmullins.github.io/foreign-affairs-100/
32469678,New Evidence Suggests Giant Asteroid Impacts Created Earth’s Continents,14,https://singularityhub.com/2022/08/14/new-evidence-suggests-giant-asteroid-impacts-created-earths-continents/
32470394,Why is solar more expensive in the U.S. than in other countries?,15,https://news.energysage.com/why-is-solar-more-expensive-in-the-us/
32470881,Earth had its 6th-hottest July and year to date on record,16,https://www.noaa.gov/news/earth-had-its-6th-hottest-july-and-year-to-date-on-record
32468435,A Review of the Art of the Metaobject Protocol (2010) [pdf],17,https://www.dreamsongs.com/Files/amop-review.pdf
32468701,Commercial Surveillance and Data Security Rulemaking,18,https://www.ftc.gov/legal-library/browse/federal-register-notices/commercial-surveillance-data-security-rulemaking
32456981,Stack Computers: the new wave (1989),19,https://users.ece.cmu.edu/~koopman/stack_computers/index.html
32468400,Email Is Async,20,https://www.patkua.com/blog/email-is-async/
32468499,More Energy on Less Land: The Drive to Shrink Solar’s Footprint,21,https://e360.yale.edu/features/small-solar-agriculture-technology
32467962,"Why does Neon use Paxos instead of Raft, and what's the difference?",22,https://neon.tech/blog/paxos/
32467204,Deepnote (YC S19) is hiring to build a better data science notebook (Europe),23,https://deepnote.com/join-us
32469349,The Last Oyster Tongers of Apalachicola,24,https://bittersoutherner.com/feature/2022/the-last-oyster-tongers-of-apalachicola
32470017,"Tell HN: Godaddy canceled my domain, gave me 2h to respond, then charged €150",25,item?id=32470017
32469976,Ask HN: Bluetooth kinda sucks. Why don't we have something better?,26,item?id=32469976
32436043,The value of owning more books than you can read (2018),27,https://bigthink.com/neuropsych/do-i-own-too-many-books/
32471508,Scaling Kubernetes to Thousands of CRDs,28,https://blog.upbound.io/scaling-kubernetes-to-thousands-of-crds/
32436527,Best Practices for Form Design (2008) [pdf],29,http://static.lukew.com/webforms_lukew.pdf
32467813,My network home setup v3.0,30,https://giuliomagnifico.blog/networking/2022/08/14/home-network_v3.html
